width,depth,#varint,#string,proto_serialization,proto_deserialization,ser1de_serialization,ser1de_deserialization,gather_out(bytes),compress_out(bytes)
1,2,8,2,536.17,2660.63,3510.23,2278.81,112,
1,2,12,3,766.92,4018.56,3680.56,2443.73,164,
1,3,8,2,776.56,4186.91,3540.06,2341.25,168,
1,3,12,3,1044.6,5790.33,4115.32,2873.92,246,
2,2,8,2,762.26,4070.0,3617.67,2393.14,168,
2,2,12,3,1005.54,5765.13,3936.5,2721.92,246,
2,3,8,2,1760.82,9889.52,4569.22,3638.82,392,
2,3,12,3,2388.65,13806.99,5145.55,4558.04,574,
