# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 7K of event 'cycles:u'
# Event count (approx.): 2989206917
#
# Overhead  Command    Shared Object         Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
# ........  .........  ....................  ...........................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
#
     0.34%  proto_run  proto_run             [.] google::protobuf::internal::TaggedStringPtr::TagAs(google::protobuf::internal::TaggedStringPtr::Type, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*)
     0.32%  proto_run  proto_run             [.] google::protobuf::internal::RepeatedPtrFieldBase::allocated_size() const
     0.32%  proto_run  proto_run             [.] void google::protobuf::internal::RepeatedPtrFieldBase::Add<google::protobuf::internal::GenericTypeHandler<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, (void*)0>(google::protobuf::internal::GenericTypeHandler<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >::Type&&)
     0.32%  proto_run  proto_run             [.] fleetbench::proto::Message8_M1_M4_M15_M23_M40_M48_M73_M79::_InternalSerialize(unsigned char*, google::protobuf::io::EpsCopyOutputStream*) const
     0.31%  proto_run  proto_run             [.] utf8_range::IsStructurallyValid(absl::lts_20240116::string_view)
     0.30%  proto_run  proto_run             [.] google::protobuf::internal::WireFormatLite::WriteTagToArray(int, google::protobuf::internal::WireFormatLite::WireType, unsigned char*)
     0.30%  proto_run  proto_run             [.] utf8_range_ValidateUTF8Naive
     0.30%  proto_run  proto_run             [.] operator new(unsigned long)@plt
     0.29%  proto_run  proto_run             [.] google::protobuf::internal::TaggedStringPtr::GetIfAllocated[abi:cxx11]() const
     0.29%  proto_run  proto_run             [.] google::protobuf::internal::ArenaStringPtr::Destroy()
     0.29%  proto_run  proto_run             [.] absl::lts_20240116::string_view::string_view(char const*, unsigned long)
     0.29%  proto_run  proto_run             [.] google::protobuf::internal::CachedSize::Set(int)
     0.29%  proto_run  libstdc++.so.6.0.30   [.] void std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_construct<char const*>(char const*, char const*, std::forward_iterator_tag)
     0.28%  proto_run  libc.so.6             [.] 0x00000000000a172e
     0.28%  proto_run  proto_run             [.] std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >* absl::lts_20240116::log_internal::Check_EQImpl<unsigned long, unsigned long>(unsigned long const&, unsigned long const&, char const*)
     0.27%  proto_run  proto_run             [.] fleetbench::proto::Message7_M2_M19::ByteSizeLong() const
     0.26%  proto_run  proto_run             [.] google::protobuf::internal::GenericTypeHandler<google::protobuf::MessageLite>::Delete(google::protobuf::MessageLite*, google::protobuf::Arena*)
